sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,8,16,0.0388,polar3,polar,10000,240000,0.9106,0.9338,0.9216,0.6259,0.3363,0.4376,0.6857
ddim,8,16,0.0388,knn,knn,20000,480000,0.6164,0.6303,0.6294,0.2124,0.2732,0.2390,0.4346
ddim,8,16,0.0388,altered_knn,altered_knn,20000,320000,0.7856,0.8129,0.8023,0.1816,0.1095,0.1367,0.4748
ddim,8,16,0.0388,polar3,polar,20000,480000,0.9138,0.9375,0.9247,0.6580,0.3273,0.4372,0.6874
ddim,8,16,0.0388,knn,knn,50000,1200000,0.6419,0.6563,0.6535,0.2503,0.2861,0.2670,0.4616
ddim,8,16,0.0388,altered_knn,altered_knn,50000,800000,0.7984,0.8279,0.8143,0.1574,0.0696,0.0965,0.4622
ddim,8,16,0.0388,polar3,polar,50000,1200000,0.9150,0.9388,0.9261,0.6528,0.3247,0.4337,0.6863
ddim,8,16,0.0388,knn,knn,100000,2400000,0.6682,0.6828,0.6799,0.2726,0.3067,0.2887,0.4857
ddim,8,16,0.0388,altered_knn,altered_knn,100000,1600000,0.8086,0.8390,0.8233,0.1964,0.0567,0.0880,0.4635
ddim,8,16,0.0388,polar3,polar,100000,2400000,0.9154,0.9393,0.9264,0.6571,0.3235,0.4335,0.6864
